1;World Championship;"The 14th World Championship in Military and Sports All-round competitions (MSAC) was held in Ukraine in the city of Kharkov from November 22 to 24, 2019
                    <p>About 300 athletes from 16 countries of the world took part in the competitions.</p>
                    <p>The fights were very intense and exciting. Also, high-level masters competed in versions of the demonstration of technology - kata and combat techniques.</p>
                    <p>In the overall classification, the command places were distributed in an offensive manner: </p> 
                    <p>- 1st place - team of Ukraine</p>
                    <p>- 2nd place - the team of Belarus</p>
                    <p>- 3rd place - Turkmenistan team </p>";img/2019/;22.11.2020
2;Sergey Zaytscev - The President of the International Organization has retired;" On November 23, 2019, during <b>The 14th World Championship</b> at the Congress of Heads of Separate Units of the International Organization and The All-Ukrainian Federation of Military and Sports all-round competitions, Federation President  <b>Sergei Zaitsev</b> announced his decision to terminate his powers of the President of the All-Ukrainian Federation and The International Organization  in connection with the deterioration of health
<p>Thanks to Sergey Zaitsev for all the hard work for decades! All sportsmen wish you Good luck and success!</p>
                    ";;22.11.2019
3;New leadership positions in The International and Ukraine National Federations;" At a meeting of representatives of international divisions of the International Organization, Levin Volodymyr was elected to the post of President of the International Organization.
<p>Also Yaroshevsky Andriy was elected on the post of The President of the All-Ukrainian Federation by open voting.</p>
 <p>We wish you success, inspiration and fruitful work for the benefit of our federation in the international and national arena!</p>
                    ";;22.11.2019
4;Congratulation Mr. ABDOUL SORE on joining the International Organization;"During The 14th World Championship in Military and Sports All-round competitions (MSAC) that was held in Ukraine in the city of Kharkov 
                        from November 22 to 24, 2019 <b>The ELITE SPORT MANAGEMENT</b> organization represented by <b>Mr. ABDOUL SORE</b> 
                         was given the right to carry out activities on the development of MSAC in the country of BURKINA FASO.
                        <p>We wish you success, inspiration and fruitful work for the benefit of our federation in the international and national arena!</p>
                        <p>Contacts of Mr. ABDOUL SORE: <br>
                        - Email: sabdoul2000@gmail.com<br>
                        - Mob.: +905388626047, +905342691513 ";;22.11.2019
5;Postponding of The European Championship MSAC;" <span>Dear Colleagues!</span>
<br><br><span> Due to a temporary ban on mass events in connection with the spread of the coronavirus epidemic The European Championship MSAC was postponed to 05-07 June 2020.</span><br><br><span>We wish you good health!</span>";;04.04.2020
6;Happy birthday Mr. Peter Kalinin!;"<span>Today on the 23-th of June Mr. Peter Kalinin - The Vice-President of the International organization of MSAC celebrates his birthday.</span>
<br><br>
<span>Dear Mr. Kalinin!</span><br><br>
<span>Happy Birthday to you! Wishing you always be healthy, happy and may you have many more birthdays to come!!</span><br><br>
<span>Let your all the dreams to be on fire and light your birthday candles with that. Have a gorgeous birthday</span>";;23.06.2020
7;Happy birthday Mr. Stanislav Holodkov!;"<span>Today on the 7-th of June Mr. Stanislav Holodkov - Regional Representative of the International Organization of MSAC in USA celebrates his birthday.</span>
<br><br>
<span>Dear Mr. Stanislav Holodkov!</span><br><br>
<span>You are always a motivational person to do challenging things in life. Keep inspiring us to do great things, happy birthday!!</span><br><br>
<span>Your passion, obsession, dedication towards the martial arts are impeccable. Stay with it, happy birthday!</span>";;07.07.2020
8;You are welcome to participate in International Tournament!;"<span>Dear Colleagues!!!</span>  
<br><br><span>Congratulations, the date for the international online tournament MSAC is approaching.  
Hurry up to apply for participation before August 1 and video materials before August 5 
by e-mail: presidentmsac@gmail.com Certificates and medals are waiting for you))<span>";;28.07.2020
9;All-Ukrainian Instructor Seminar;"<span>02.08.2020 in Kyiv Ukraine</span> 
was held an Instructional seminar in the discipline of Combat martial, section All-style fighting.<br>
The seminar was attended by 59 instructors from different regions of Ukraine.<br>
Classes were held at three work points:<br>
1. wrestling<br>
2. mix-fighting + applied self-defense against cold steel<br>
3. lectures<br>
Wrestling classes were conducted by Grand Master of International Level Grimov S. (black belt 7 dan) and instructor Kaut R. (black belt 5 dan).<br>
Classes on mix-fighting + applied self-defense against cold steel were conducted by Grand Master of International Level Ryshkovets AM (black belt 7 dan) and instructor Olkhovsky AS (black belt 3 dan).";;28.07.2020
10;Results of Open international online Championship;"<span>From 08 to 09 August 2020</span> 
took place The First Open international online tournament in Military and sports all-around competitions, the section <strong>`combat martial`</strong> 
from versions:<br><br> 
-<strong>B-5 (self-defense demonstration)</strong><br>
-<strong>B-6 (demonstration of formal technical complexes - kata)</strong>.<br><br>
The actual competition was conducted by reviewing and analyzing the videos submitted by the participants of the competition, and the panel of judges during the day, according to the rules of the competition, determined the winners.<br><br>
More than 100 athletes from 14 countries expressed their desire to take part in the tournament. It is a pleasure to note that the event was attended by athletes aged 6 years and veterans of sports who were over 40 years old.<br><br>
According to the results of the competition, the team places were distributed as follows:<br>
- <em>1 place</em> <strong>Ukraine</strong><br>
- <em>2 place</em> <strong>The Republic of Serbia</strong><br>
- <em>3 place</em> <strong>The Kingdom of Denmark</strong><br><br>
In the conditions of the general pandemic of carrying out online competitions it is a convenient opportunity to support development of military sports all-round competitions in the World.<br>
We hope for the further cooperation with federations of other countries.<br>

<p>&nbsp;</p>

<div class='embed-youtube'>
    <iframe src='https://www.youtube.com/embed/DELuoKPE1bM' width='750' height='563'></iframe>
</div>
<p>&nbsp;</p>
<div class='embed-youtube'>
    <iframe src='https://www.youtube.com/embed/1sUUOi8yZ50' width='750' height='563'></iframe>
</div>
<p>&nbsp;</p>

<style>
.embed-youtube {
    position: relative;
    padding-bottom: 56.25%; 
    padding-top: 30px;
    height: 0;
    overflow: hidden;
}

.embed-youtube iframe,
.embed-youtube object,
.embed-youtube embed {
    border: 0;
    position: absolute;
    top: 0;
    left: 0;
    width: 100%;
    height: 100%;
}
</style>

";;11.08.2020
11;The World Championship is canceled;"<span>Attention!</span> 
<p>Due to the tightening of quarantine restrictions to combat the spread of COVID 19 imposed by the Cabinet of Ministers of Ukraine on November 11, 2020 and the decision of the Presidium of the Public Union 'International Organization of Military Sports All-Around' the World Championship in Military Sports All-Around is canceled.</p>
<p>It was decided to hold on December 4 - 6, 2020 in the online mode the open World Championship in military sports all-around in version B-5 (demonstration of self-defense equipment), B-6 (demonstration of formal technical complexes), by viewing and analyzing videos with performances participants of competitions.</p>
<p>We wish everyone good health and t 36.6 ° !</p>
";;14.11.2020
12;Online seminar for The World Championship MSAC;"<span>Attention!</span> 
<p>To join a Google Meet video meeting, click this link:
<a href='https://meet.google.com/bty-hovg-mds' target='_blank'>https://meet.google.com/bty-hovg-mds<a/>
";;28.11.2020

